"","l","BF","PPI","pval","time"
"Gene1498",0,0,0,0.99,13.372066
"Gene1499",0,0.0882620425386619,0.02,0.674377562568797,13.372066
"Gene1500",0,0,0,0.99,13.372066
"Gene1501",0,0.046294722045235,0,0.760910668232169,13.372066
"Gene1502",0,0,0,0.99,13.372066
"Gene1503",0,0,0,0.99,13.372066
"Gene1504",0,0,0,0.99,13.372066
"Gene1505",0,0.0123357868227799,0,0.8751882035943,13.372066
"Gene1506",0,0,0,0.99,13.372066
"Gene1507",0,0,0,0.99,13.372066
"Gene1508",0,0.0547151058633915,0,0.740793766326107,13.372066
"Gene1509",0,0,0,0.99,13.372066
"Gene1510",0,0,0,0.99,13.372066
"Gene1511",0,0.0349995312892474,0,0.791338144989262,13.372066
"Gene1512",0,0,0,0.99,13.372066
"Gene1513",0,0,0,0.99,13.372066
"Gene1514",0,0,0,0.99,13.372066
"Gene1515",0,0,0,0.99,13.372066
"Gene1516",0,0.242471696073613,0,0.486191654439096,13.372066
"Gene1517",0,0.327113061589768,0,0.41860577024728,13.372066
"Gene1518",0,0.706324881985057,0,0.234617014966248,13.372066
"Gene1519",0,0.0184893207846471,0,0.84750853898336,13.372066
"Gene1520",0,0.158120078996512,0,0.573875981996688,13.372066
"Gene1521",0,0,0,0.99,13.372066
"Gene1522",0,0,0,0.99,13.372066
"Gene1523",0,0.0320845496864877,0,0.800023875144129,13.372066
"Gene1524",0,0,0,0.99,13.372066
"Gene1525",0,0,0,0.99,13.372066
"Gene1526",0,0.063754444899871,0,0.721029019853065,13.372066
"Gene1527",0,0,0,0.99,13.372066
"Gene1528",0,0,0,0.99,13.372066
"Gene1529",0,0,0,0.99,13.372066
"Gene1530",0,0.582955482973404,0,0.280243022652944,13.372066
"Gene1531",0,0.272223232750758,0,0.460595786391869,13.372066
"Gene1532",0,0,0,0.99,13.372066
"Gene1533",0,0,0,0.99,13.372066
"Gene1534",0,0,0,0.99,13.372066
"Gene1535",0,0,0,0.99,13.372066
"Gene1536",0,0,0,0.99,13.372066
"Gene1537",0,0,0,0.99,13.372066
"Gene1538",0,0.127967590014481,0,0.612926595573931,13.372066
"Gene1539",0.0466547587737222,2.15843269675312,0.14,0.0377363757618426,13.372066
"Gene1540",0,0.264749921230236,0,0.466817212003532,13.372066
"Gene1541",0,0,0,0.99,13.372066
"Gene1542",0,0,0,0.99,13.372066
"Gene1543",0,0.697371948559658,0,0.237605599802351,13.372066
"Gene1544",0,0.161453461991425,0,0.56986590489362,13.372066
"Gene1545",0,0,0,0.99,13.372066
