"","l","BF","PPI","pval","time"
"Gene6285",0.0348104950155349,0.611256276518503,0.02,0.268868125517681,13.3916091
"Gene6286",0,0,0,0.99,13.3916091
"Gene6287",0,0,0,0.99,13.3916091
"Gene6288",0,0,0,0.99,13.3916091
"Gene6289",0,0,0,0.99,13.3916091
"Gene6290",0,0.209453983387027,0,0.517482451135052,13.3916091
"Gene6291",0,0,0,0.99,13.3916091
"Gene6292",0,0.0264690728753521,0,0.818027344053187,13.3916091
"Gene6293",0,0.0975849140295963,0,0.658648199859021,13.3916091
"Gene6294",0,0.0714363223069427,0,0.705441752407552,13.3916091
"Gene6295",0,0,0,0.99,13.3916091
"Gene6296",0,0.266085187501187,0,0.465695815393444,13.3916091
"Gene6297",0,0.15298941402848,0,0.580158284184015,13.3916091
"Gene6298",0,0.28206256096708,0,0.452602926751122,13.3916091
"Gene6299",0,0.87698896530905,0,0.185377431591203,13.3916091
"Gene6300",0,0,0,0.99,13.3916091
"Gene6301",0,0,0,0.99,13.3916091
"Gene6302",0,0.126459514495258,0,0.615027157996297,13.3916091
"Gene6303",0,0,0,0.99,13.3916091
"Gene6304",0,0,0,0.99,13.3916091
"Gene6305",0,0.00508043946156249,0,0.919708286038806,13.3916091
"Gene6306",0,0.657266825143608,0,0.251575450945155,13.3916091
"Gene6307",0,0,0,0.99,13.3916091
"Gene6308",0,0,0,0.99,13.3916091
"Gene6309",0,0,0,0.99,13.3916091
"Gene6310",0,0,0,0.99,13.3916091
"Gene6311",0,0.0786634190237919,0,0.691629652221238,13.3916091
"Gene6312",0,0,0,0.99,13.3916091
"Gene6313",0,0,0,0.99,13.3916091
"Gene6314",0,0,0,0.99,13.3916091
"Gene6315",0,0,0,0.99,13.3916091
"Gene6316",0,0,0,0.99,13.3916091
"Gene6317",0,0.430547235254414,0,0.353432592971105,13.3916091
"Gene6318",0,0,0,0.99,13.3916091
"Gene6319",0,0,0,0.99,13.3916091
"Gene6320",0,0,0,0.99,13.3916091
"Gene6321",0,0,0,0.99,13.3916091
"Gene6322",0,0.0659723586975986,0,0.716424149798904,13.3916091
"Gene6323",0,0,0,0.99,13.3916091
"Gene6324",0,0,0,0.99,13.3916091
"Gene6325",0,0.206314430322863,0,0.520638206368069,13.3916091
"Gene6326",0,0,0,0.99,13.3916091
"Gene6327",0.0306409195431739,0.477404219415786,0.14,0.32849836320051,13.3916091
"Gene6328",0,0,0,0.99,13.3916091
"Gene6329",0,0,0,0.99,13.3916091
"Gene6330",0,0,0,0.99,13.3916091
"Gene6331",0,0,0,0.99,13.3916091
"Gene6332",0,0,0,0.99,13.3916091
"Gene6333",0,0,0,0.99,13.3916091
"Gene6334",0,0,0,0.99,13.3916091
"Gene6335",0,0.0374419824376446,0,0.784354107818705,13.3916091
"Gene6336",0.0489128982487418,0.520497723477968,0.02,0.307590070266398,13.3916091
"Gene6337",0,0.0912440771944432,0,0.669243622474822,13.3916091
"Gene6338",0,0,0,0.99,13.3916091
"Gene6339",0,0,0,0.99,13.3916091
"Gene6340",0,0,0,0.99,13.3916091
"Gene6341",0,0,0,0.99,13.3916091
"Gene6342",0,0.461806406971795,0,0.336528149964885,13.3916091
"Gene6343",0,0,0,0.99,13.3916091
"Gene6344",0,0,0,0.99,13.3916091
"Gene6345",0,0.170649961860363,0,0.559079840683513,13.3916091
"Gene6346",0,0.00450947317900159,0,0.924340138366912,13.3916091
"Gene6347",0,0,0,0.99,13.3916091
"Gene6348",0,0,0.16,0.99,13.3916091
"Gene6349",0,0.035771619860526,0,0.7891029363237,13.3916091
"Gene6350",0,0,0,0.99,13.3916091
"Gene6351",0,0,0,0.99,13.3916091
"Gene6352",0,0,0,0.99,13.3916091
"Gene6353",0,0,0,0.99,13.3916091
"Gene6354",0,0,0,0.99,13.3916091
