,g,pval,qval
2208,MBD1,0.8983836673872716,0.8983836729030311
1804,HNRNPAB,0.8983836673911576,0.8983836729030311
1205,DMTN,0.8983836673921815,0.8983836729030311
408,AL591866.1,0.8983836673929521,0.8983836729030311
622,B4GALT5,0.8983836673731258,0.8983836729030311
488,APOC1,0.8983836673946143,0.8983836729030311
111,AC034207.1,0.8983836673366328,0.8983836729030311
934,CINP,0.8983836673337706,0.8983836729030311
1183,DGKA,0.8983836672918944,0.8983836729030311
2562,NOC4L,0.8983836672930008,0.8983836729030311
1675,GRAMD1A,0.8983836672935072,0.8983836729030311
2152,MACROD1,0.898383667295329,0.8983836729030311
2066,LASP1,0.8983836672955713,0.8983836729030311
933,CIITA,0.8983836672972996,0.8983836729030311
1420,EXOSC2,0.8983836672988242,0.8983836729030311
1480,FBXO7,0.8983836673015158,0.8983836729030311
1563,FXYD2,0.8983836673018241,0.8983836729030311
181,AC100771.1,0.8983836673018516,0.8983836729030311
2586,NPIPA8,0.8983836673034313,0.8983836729030311
1994,KIAA2013,0.8983836673045321,0.8983836729030311
1147,DDA1,0.8983836673055449,0.8983836729030311
2237,MEF2A,0.8983836673359613,0.8983836729030311
785,CARD19,0.8983836673094199,0.8983836729030311
148,AC091982.1,0.898383667316724,0.8983836729030311
540,ARPC3,0.898383667319311,0.8983836729030311
661,BIRC5,0.8983836673194155,0.8983836729030311
778,CAPN15,0.8983836673215402,0.8983836729030311
1922,IPO7,0.8983836673233235,0.8983836729030311
1035,CPNE1,0.8983836673233676,0.8983836729030311
2458,NBAS,0.898383667323885,0.8983836729030311
1995,KIF12,0.8983836673278041,0.8983836729030311
1473,FBN1,0.8983836673295543,0.8983836729030311
435,ANAPC11,0.8983836673296645,0.8983836729030311
799,CBWD5,0.8983836673315359,0.8983836729030311
2142,LUM,0.8983836673321083,0.8983836729030311
716,C16orf62,0.8983836673326148,0.8983836729030311
564,ATF7IP,0.8983836673109501,0.8983836729030311
2492,NDUFA7,0.8983836672038708,0.8983836729030311
2611,NSD3,0.8983836676035989,0.8983836729030311
456,ANTXR2,0.8983836676066702,0.8983836729030311
651,BDKRB2,0.8983836678558357,0.8983836729030311
486,APLP2,0.8983836678561824,0.8983836729030311
