"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"40",1,0.26995550731958,1,0.896924621378244,0.877831513807482,1,1,1,1,1,0.8152302699812,0.974219375826738,1,0.26995550731958,1,0.896924621378244,0.877831513807482,1,1,1,1,1,0.8152302699812,0.974219375826738,1,0.26995550731958,1,0.896924621378244,0.877831513807482,1,1,1,1,1,0.8152302699812,0.974219375826738
"41",0.978841757288155,1,0.978896354836116,1,0.902300642182668,0.91210588252034,0.801157829528031,1,0.973853263445102,0.957859680876764,0.835464623603317,0.775769953482322,0.978841757288155,1,0.978896354836116,1,0.902300642182668,0.91210588252034,0.801157829528031,1,0.973853263445102,0.957859680876764,0.835464623603317,0.775769953482322,0.978841757288155,1,0.978896354836116,1,0.902300642182668,0.91210588252034,0.801157829528031,1,0.973853263445102,0.957859680876764,0.835464623603317,0.775769953482322
"42",1,1,1,1,0.837187542197115,1,0.799437161666232,1,0.97022644498852,1,0.63221562485489,1,1,1,1,1,0.837187542197115,1,0.799437161666232,1,0.97022644498852,1,0.63221562485489,1,1,1,1,1,0.837187542197115,1,0.799437161666232,1,0.97022644498852,1,0.63221562485489,1
"43",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"44",0.940880311819989,0.511322093276306,0.579036820803053,0.960573675198131,0.416378746360697,1,0.919610740548993,0.219742791717331,0.776113684813208,0.702028500243632,0.860280455644402,0.58906208971286,0.940880311819989,0.511322093276306,0.579036820803053,0.960573675198131,0.416378746360697,1,0.919610740548993,0.219742791717331,0.776113684813208,0.702028500243632,0.860280455644402,0.58906208971286,0.940880311819989,0.511322093276306,0.579036820803053,0.960573675198131,0.416378746360697,1,0.919610740548993,0.219742791717331,0.776113684813208,0.702028500243632,0.860280455644402,0.58906208971286
"45",0.576767376106241,0.209882091438722,1,1,0.772049179854907,0.865016671922071,0.804449392595275,1,0.981636272271882,0.998808128046717,0.858166544460305,0.868410811887811,0.576767376106241,0.209882091438722,1,1,0.772049179854907,0.865016671922071,0.804449392595275,1,0.981636272271882,0.998808128046717,0.858166544460305,0.868410811887811,0.576767376106241,0.209882091438722,1,1,0.772049179854907,0.865016671922071,0.804449392595275,1,0.981636272271882,0.998808128046717,0.858166544460305,0.868410811887811
"46",0.976371779587862,0.53677502777498,0.264380850336242,0.651103688460653,0.812071988637897,0.331543479321081,0.786258851010458,0.898149737980991,0.725209279387947,1,1,1,0.976371779587862,0.53677502777498,0.264380850336242,0.651103688460653,0.812071988637897,0.331543479321081,0.786258851010458,0.898149737980991,0.725209279387947,1,1,1,0.976371779587862,0.53677502777498,0.264380850336242,0.651103688460653,0.812071988637897,0.331543479321081,0.786258851010458,0.898149737980991,0.725209279387947,1,1,1
"47",0.856140688701859,0.66649480600322,1,0.937721866084127,0.826781257525596,1,0.781098304286283,0.663736833149292,1,0.514677437958396,0.632151562030597,0.695732463297362,0.856140688701859,0.66649480600322,1,0.937721866084127,0.826781257525596,1,0.781098304286283,0.663736833149292,1,0.514677437958396,0.632151562030597,0.695732463297362,0.856140688701859,0.66649480600322,1,0.937721866084127,0.826781257525596,1,0.781098304286283,0.663736833149292,1,0.514677437958396,0.632151562030597,0.695732463297362
"48",0.998699551014269,0.409495633846756,0.978841757288155,0.998808128046717,1,0.768362020744444,0.778203387205164,0.960221825323617,0.972737926586891,1,1,0.976219098330344,0.998699551014269,0.409495633846756,0.978841757288155,0.998808128046717,1,0.768362020744444,0.778203387205164,0.960221825323617,0.972737926586891,1,1,0.976219098330344,0.998699551014269,0.409495633846756,0.978841757288155,0.998808128046717,1,0.768362020744444,0.778203387205164,0.960221825323617,0.972737926586891,1,1,0.976219098330344
"49",0.828191084959405,1,0.190632417073754,0.921509889813423,0.653361411758623,0.812273509851933,1,0.812348950548535,0.815056327307868,0.903399193649369,1,0.896734679241849,0.828191084959405,1,0.190632417073754,0.921509889813423,0.653361411758623,0.812273509851933,1,0.812348950548535,0.815056327307868,0.903399193649369,1,0.896734679241849,0.828191084959405,1,0.190632417073754,0.921509889813423,0.653361411758623,0.812273509851933,1,0.812348950548535,0.815056327307868,0.903399193649369,1,0.896734679241849
"50",1,1,0.863675029423987,1,0.983280501507691,0.572106696549201,0.879496838192875,0.72910791058705,0.939547650475361,1,1,0.874712305811235,1,1,0.863675029423987,1,0.983280501507691,0.572106696549201,0.879496838192875,0.72910791058705,0.939547650475361,1,1,0.874712305811235,1,1,0.863675029423987,1,0.983280501507691,0.572106696549201,0.879496838192875,0.72910791058705,0.939547650475361,1,1,0.874712305811235
"51",1,1,1,1,1,0.961739638722362,0.932571858934412,0.836758659456238,1,1,1,1,1,1,1,1,1,0.961739638722362,0.932571858934412,0.836758659456238,1,1,1,1,1,1,1,1,1,0.961739638722362,0.932571858934412,0.836758659456238,1,1,1,1
"52",1,1,0.637173761758337,1,0.998185964245002,0.928136550992086,0.728555010738594,0.83219832205909,1,1,0.898958791387374,1,1,1,0.637173761758337,1,0.998185964245002,0.928136550992086,0.728555010738594,0.83219832205909,1,1,0.898958791387374,1,1,1,0.637173761758337,1,0.998185964245002,0.928136550992086,0.728555010738594,0.83219832205909,1,1,0.898958791387374,1
"53",1,1,1,1,1,0.977458780583701,1,1,1,0.916262819378227,1,1,1,1,1,1,1,0.977458780583701,1,1,1,0.916262819378227,1,1,1,1,1,1,1,0.977458780583701,1,1,1,0.916262819378227,1,1
"54",0.897964971668569,1,1,1,0.997965776904251,0.906374705394858,0.836758659456238,1,0.921509889813423,1,0.829921904760866,0.871706978995531,0.897964971668569,1,1,1,0.997965776904251,0.906374705394858,0.836758659456238,1,0.921509889813423,1,0.829921904760866,0.871706978995531,0.897964971668569,1,1,1,0.997965776904251,0.906374705394858,0.836758659456238,1,0.921509889813423,1,0.829921904760866,0.871706978995531
"55",0.728555010738594,1,0.546778271962083,0.970735341559977,0.586369322879071,1,1,1,0.706845237485373,0.99743790976268,1,1,0.728555010738594,1,0.546778271962083,0.970735341559977,0.586369322879071,1,1,1,0.706845237485373,0.99743790976268,1,1,0.728555010738594,1,0.546778271962083,0.970735341559977,0.586369322879071,1,1,1,0.706845237485373,0.99743790976268,1,1
