,g,pval,qval
3924,DKK1,4.876225869643314e-06,8.067576946930198e-05
1954,NOMO1,4.925175293601924e-06,8.11557224492301e-05
1800,AHCYL1,4.963649836042805e-06,8.135891358197795e-05
2193,AL121594.2,4.9774863591922625e-06,8.135891358197795e-05
2285,AQP1,5.372284760607471e-06,8.746079590268963e-05
2562,DUOX2,5.690299789362641e-06,9.226900455261334e-05
3576,MUC1,5.717474156230473e-06,9.234174530102392e-05
3146,AC046130.1,5.8542094897306995e-06,9.417641353045039e-05
2683,FTH1P7,5.942544406778438e-06,9.522108557318206e-05
3118,AC007365.2,6.077235580215223e-06,9.699744631951357e-05
1802,AL049714.1,6.559045358289772e-06,0.00010387281948731274
1880,FTH1P5,6.542699345968295e-06,0.00010387281948731274
3824,MUC3A,6.615799196807437e-06,0.00010430158774871983
3139,AC022558.1,6.6373737658276255e-06,0.00010430158774871983
2580,EEF1A1P9,6.666031323154797e-06,0.00010434902878938471
2135,AC140076.1,6.80324909130281e-06,0.00010608898008276796
3428,FTH1P10,7.007781004930713e-06,0.00010886133087812214
2098,AC104306.1,7.429568980144019e-06,0.00011497469866610707
1789,AC110792.1,7.522935788095708e-06,0.00011597859339980883
1782,AC098828.1,7.617595285336343e-06,0.00011699476532573176
2215,AL358176.3,8.361933084843898e-06,0.0001279438633658446
2809,IGFBP7,8.807639070851359e-06,0.00013425876785904507
3572,MTCO1P12,9.439802920119256e-06,0.00014335820106300512
1900,HMGN2,9.747595613007753e-06,0.00014748220871725485
3869,ALG3,1.0102466739714266e-05,0.00015228533196532247
3818,MT.RNR2,1.0370765805900461e-05,0.00015575282963105122
1767,AC022483.2,1.068524118397196e-05,0.00015988577801016868
3396,ETS2,1.0974890297665851e-05,0.00016361832788095243
2212,AL353691.2,1.1175511643979341e-05,0.00016600121310582453
3409,FBLN1,1.158516217769634e-05,0.00017146040022990582
2152,ADAMTS1,1.171944097289046e-05,0.00017281929260747888
4038,COL7A1,1.1787087204506719e-05,0.00017318933184961135
3225,APOD,1.2072757685666069e-05,0.00017585091400664141
4067,MT.CYB,1.2044360203522508e-05,0.00017585091400664141
3473,HTRA1,1.2097851577852481e-05,0.00017585091400664141
3176,AC233702.1,1.2211219076796453e-05,0.00017686712328313724
1477,CES1P1,1.2548710984994216e-05,0.00018111082875505837
3573,MTCO1P40,1.2625864315385371e-05,0.00018158045146154933
2670,FNDC3A,1.2799833315702003e-05,0.00018319820303881715
1397,ANAPC16,1.2828375397067049e-05,0.00018319820303881715
1777,AC091685.2,1.2945395246877212e-05,0.00018422293235940648
3152,AC090114.1,1.3128476647805698e-05,0.00018617735176504945
2035,AC025458.1,1.3274843745469944e-05,0.00018759935431966206
3723,EMILIN1,1.3544146361565979e-05,0.00019074282246219217
1888,GGT6,1.372211313588334e-05,0.00019258276021739723
3929,EHD2,1.3885023842918898e-05,0.00019353440767356134
1763,AC016691.1,1.388202472618616e-05,0.00019353440767356134
1346,AC007537.1,1.4116830549415482e-05,0.00019609385780246078
4052,ISG15,1.4236697310043844e-05,0.00019708625187713757
1762,AC016687.1,1.428794100488684e-05,0.00019712515216911672
2948,MFAP4,1.4559944938041802e-05,0.00020019924289807478
2095,AC100793.1,1.4949055893831442e-05,0.000204169991570114
2045,AC073072.2,1.490935820847028e-05,0.000204169991570114
2182,AL034379.1,1.4999612075294877e-05,0.00020417532156003393
3727,EPS8L1,1.5194611812208159e-05,0.00020614023358562402
2619,EPB41L2,1.5634971347822102e-05,0.0002114097454672291
1894,HADHB,1.590415670860157e-05,0.0002143374761722132
3937,FLNA,1.6067647523709816e-05,0.0002158261565065972
1876,FTH1P11,1.625303909924547e-05,0.0002175982537300298
1940,MT1JP,1.6506693918172388e-05,0.00022026965326872662
1533,EEF1A1P22,1.6625671078185356e-05,0.0002211322917915503
1878,FTH1P20,1.7102614854880294e-05,0.00022673499172430877
2756,HERPUD1,1.7300276189957664e-05,0.00022861079251015485
3910,COL5A1,1.8030405867341948e-05,0.00023672178025832815
2509,CXCL1,1.8022411387819126e-05,0.00023672178025832815
1850,CSF1,1.8730200414096565e-05,0.00024449005366402584
1810,AL355032.1,1.874223507203343e-05,0.00024449005366402584
2203,AL136454.1,1.8832889300268718e-05,0.00024488772987889355
1792,AC234778.1,1.921907989288485e-05,0.0002491135514778386
4011,NAPRT,1.950538488715292e-05,0.00025202195711337267
1977,AC004938.1,2.0129977762683993e-05,0.0002592690173864679
2019,AC016700.2,2.0210412291943314e-05,0.00025948384236028165
2255,AMY1A,2.146361261767815e-05,0.00027470724325141533
1807,AL161781.1,2.155660317615382e-05,0.00027503252328196255
3809,MFAP2,2.165265103959424e-05,0.00027539465540983923
1359,AC093827.1,2.2002676564603085e-05,0.0002789747464733164
2493,CST3,2.216393000342709e-05,0.00027993672057228733
2573,EEF1A1P12,2.2216108291117642e-05,0.00027993672057228733
2208,AL161757.1,2.253699049126201e-05,0.00028310355339332215
2209,AL161909.1,2.2846238782681105e-05,0.00028610520567849874
1775,AC091133.5,2.4307288298053287e-05,0.00030346829255545056
