"","combined_pvalue","adjusted_pvalue"
"AHDC1",0.449335361467476,1
"AHI1",0.277190025692028,1
"AHNAK",0.00843055732452691,0.253316952244681
"AHNAK2",5.55e-17,1.55645915461595e-14
"AHSA1",0.206618674130993,1
"AHSA2",0.153693521338081,1
"AIDA",0.407285222848396,1
"AIF1",0.3380058615833,1
"AIG1",0.406559164039083,1
"AIP",0.135617406332091,1
"AK2",0.102512462490272,1
"AK3",0.0589141222288069,1
"AKAP1",0.149198839979064,1
"AKAP11",0.711029844672259,1
"AKAP12",0.35648233858607,1
"AKAP13",0.819496151712261,1
"AKAP8",0.651174428374518,1
"AKAP8L",0.541474001100567,1
"AKAP9",0.725901628749375,1
"AKIP1",0.410781563162276,1
"AKNA",0.564227417036402,1
"AKR1A1",0.0917884614863749,1
"AKR1B1",0.486364199728066,1
"AKR1C1",0.0622909232356283,1
"AKR1C2",0.112419636943706,1
"AKR1C3",0.122760549263632,1
"AKR7A2",0.588514761582185,1
"AKT1",0.197252747515717,1
"AKT1S1",1.18051994846269e-08,1.01443842180952e-06
"AKT2",0.985597019896098,1
"AL008718.1",0.014956194614737,0.409283378636784
"AL009174.1",8.60224735887982e-08,6.49697010704705e-06
"AL022237.1",0.0522603397274786,1
"AL022342.1",0.0151082529744648,0.412123767177461
"AL022718.1",0.0652151623968638,1
"AL024507.1",0.33489623616348,1
"AL031229.1",0.0381155193229454,0.904797370460029
"AL031727.1",0.000484371963650476,0.0204471428387605
"AL031729.1",0.112059609133988,1
"AL031736.2",0.00838337646714404,0.25210867924862
"AL031864.2",0.0266871917492271,0.673834581375684
"AL031985.2",9.22305274375645e-08,6.9513300640833e-06
"AL032821.1",0.931317436034524,1
"AL033519.2",3.33066907387547e-15,6.44353709941546e-13
"AL034369.1",5.55e-17,1.55645915461595e-14
"AL034374.1",3.4727241082777e-09,3.2049309001755e-07
"AL034379.1",4.41390328731472e-08,3.50950505141205e-06
"AL035071.1",0.473927852222102,1
"AL035078.1",0.0191775189562796,0.506784621846628
"AL035398.1",0.312544507974647,1
"AL049597.1",4.36650715585074e-13,6.52759596975783e-11
"AL049714.1",6.32935925892752e-11,7.50748310041068e-09
"AL049780.1",0.360571070413265,1
"AL049830.1",0.00116521699153938,0.0444664979499415
"AL049872.1",0.112199952114657,1
"AL049873.1",1.20570220474292e-13,1.87205493737266e-11
"AL049874.2",0.760805195769407,1
"AL050331.1",0.00915195823341941,0.271609389409993
"AL078595.1",0.168467821153245,1
"AL078604.1",0.146466791175705,1
"AL079342.1",1.75859327100625e-13,2.71884221815335e-11
"AL080243.2",7.13147096931266e-10,7.14671349660519e-08
"AL096701.1",0.000977703724524659,0.0381148090861815
"AL096711.1",0.0993934199231312,1
"AL109615.1",0.00503686204704379,0.162436431077232
"AL109628.2",0.583171547924643,1
"AL109741.2",0.00310518482915223,0.106480345447249
"AL109936.1",0.0290341973103834,0.723897150009835
"AL121594.1",1.58680513173692e-10,1.71874554259574e-08
"AL121594.2",3.58995340121737e-08,2.89252369766673e-06
"AL121612.1",3.08753023148256e-13,4.69319627162424e-11
"AL121769.1",0.00197683575226359,0.0716596200306883
"AL121871.1",3.81281339834061e-09,3.48325140190626e-07
"AL121886.1",0.00204892451802929,0.0739025598328055
"AL121972.1",0.0199392984404256,0.524928191701263
"AL122020.1",0.0478478927890673,1
"AL132838.1",0.876764127796602,1
"AL133163.1",0.0057548934542091,0.182391768356789
